000001	XEROX CORPORATION 
000002	XEROX CORPORATION 
000003	XEROX CORPORATION 
000000	XEROX CORPORATION 
000004	XEROX CORPORATION 
000005	XEROX CORPORATION 
000006	XEROX CORPORATION 
000007	XEROX CORPORATION 
000008	XEROX CORPORATION 
000009	XEROX CORPORATION 
00000A	OMRON TATEISI ELECTRONICS CO. 
00000B	MATRIX CORPORATION 
00000C	Cisco Systems, Inc 
00000D	FIBRONICS LTD. 
00000E	FUJITSU LIMITED 
00000F	NEXT, INC. 
000010	SYTEK INC. 
000011	NORMEREL SYSTEMES 
000012	INFORMATION TECHNOLOGY LIMITED 
000013	CAMEX 
000014	NETRONIX 
000015	DATAPOINT CORPORATION 
000016	DU PONT PIXEL SYSTEMS     . 
000017	Oracle 
000018	WEBSTER COMPUTER CORPORATION 
000019	APPLIED DYNAMICS INTERNATIONAL 
00001A	ADVANCED MICRO DEVICES 
00001B	NOVELL INC. 
00001C	BELL TECHNOLOGIES 
00001D	Cabletron Systems, Inc. 
00001E	TELSIST INDUSTRIA ELECTRONICA 
00001F	Telco Systems, Inc. 
000020	DATAINDUSTRIER DIAB AB 
000021	SUREMAN COMP.  COMMUN. CORP. 
000022	VISUAL TECHNOLOGY INC. 
000023	ABB INDUSTRIAL SYSTEMS AB 
000024	CONNECT AS 
000025	RAMTEK CORP. 
000026	SHA-KEN CO., LTD. 
000027	JAPAN RADIO COMPANY 
000028	PRODIGY SYSTEMS CORPORATION 
000029	IMC NETWORKS CORP. 
00002A	TRW - SEDDINP 
00002B	CRISP AUTOMATION, INC 
00002C	AUTOTOTE LIMITED 
00002D	CHROMATICS INC 
00002E	SOCIETE EVIRA 
00002F	TIMEPLEX INC. 
000030	VG LABORATORY SYSTEMS LTD 
000031	QPSX COMMUNICATIONS PTY LTD 
000032	Marconi plc 
000033	EGAN MACHINERY COMPANY 
000034	NETWORK RESOURCES CORPORATION 
000035	SPECTRAGRAPHICS CORPORATION 
000036	ATARI CORPORATION 
000037	OXFORD METRICS LIMITED 
000038	CSS LABS 
000039	TOSHIBA CORPORATION 
00003A	CHYRON CORPORATION 
00003B	i Controls, Inc. 
00003C	AUSPEX SYSTEMS INC. 
00003D	UNISYS 
00003E	SIMPACT 
00003F	SYNTREX, INC. 
000040	APPLICON, INC. 
000041	ICE CORPORATION 
000042	METIER MANAGEMENT SYSTEMS LTD. 
000043	MICRO TECHNOLOGY 
000044	CASTELLE CORPORATION 
000045	FORD AEROSPACE  COMM. CORP. 
000046	OLIVETTI NORTH AMERICA 
000047	NICOLET INSTRUMENTS CORP. 
000048	SEIKO EPSON CORPORATION 
000049	APRICOT COMPUTERS, LTD 
00004A	ADC CODENOLL TECHNOLOGY CORP. 
00004B	ICL DATA OY 
00004C	NEC CORPORATION 
00004D	DCI CORPORATION 
00004E	AMPEX CORPORATION 
00004F	LOGICRAFT, INC. 
000050	RADISYS CORPORATION 
000051	HOB ELECTRONIC GMBH  CO. KG 
000052	Intrusion.com, Inc. 
000053	COMPUCORP 
000054	Schneider Electric 
000055	COMMISSARIAT A L`ENERGIE ATOM. 
000056	DR. B. STRUCK 
000057	SCITEX CORPORATION LTD. 
000058	RACORE COMPUTER PRODUCTS INC. 
000059	Hellige GMBH 
00005A	SysKonnect GmbH 
00005B	ELTEC ELEKTRONIK AG 
00005C	TELEMATICS INTERNATIONAL INC. 
00005D	CS TELECOM 
00005E	ICANN, IANA Department 
00005F	Sumitomo Electric Industries,Ltd 
000060	KONTRON ELEKTRONIK GMBH 
000061	GATEWAY COMMUNICATIONS 
000062	BULL HN INFORMATION SYSTEMS 
000063	BARCO CONTROL ROOMS GMBH 
000064	Yokogawa Electric Corporation 
000065	Network General Corporation 
000066	TALARIS SYSTEMS, INC. 
000067	SOFT  RITE, INC. 
000068	ROSEMOUNT CONTROLS 
000069	CONCORD COMMUNICATIONS INC 
00006A	COMPUTER CONSOLES INC. 
00006B	SILICON GRAPHICS INC.MIPS 
00006C	Private 
00006D	CRAY COMMUNICATIONS, LTD. 
00006E	Artisoft Inc. 
00006F	Madge Ltd. 
000070	HCL LIMITED 
000071	ADRA SYSTEMS INC. 
000072	MINIWARE TECHNOLOGY 
000073	SIECOR CORPORATION 
000074	RICOH COMPANY LTD. 
000075	Nortel Networks 
000076	ABEKAS VIDEO SYSTEM 
000077	INTERPHASE CORPORATION 
000078	LABTAM LIMITED 
000079	NETWORTH INCORPORATED 
00007A	DANA COMPUTER INC. 
00007B	RESEARCH MACHINES 
00007C	AMPERE INCORPORATED 
00007D	Oracle Corporation 
00007E	CLUSTRIX CORPORATION 
00007F	LINOTYPE-HELL AG 
000080	CRAY COMMUNICATIONS AS 
000081	Bay Networks 
000082	LECTRA SYSTEMES SA 
000083	TADPOLE TECHNOLOGY PLC 
000084	SUPERNET 
000085	CANON INC. 
000086	MEGAHERTZ CORPORATION 
000087	HITACHI, LTD. 
000088	Brocade Communications Systems, Inc. 
000089	CAYMAN SYSTEMS INC. 
00008A	DATAHOUSE INFORMATION SYSTEMS 
00008B	INFOTRON 
00008C	Alloy Computer Products (Australia) Pty Ltd 
00008D	Cryptek Inc. 
00008E	SOLBOURNE COMPUTER, INC. 
00008F	Raytheon 
000090	MICROCOM 
000091	ANRITSU CORPORATION 
000092	COGENT DATA TECHNOLOGIES 
000093	PROTEON INC. 
000094	ASANTE TECHNOLOGIES 
000095	SONY TEKTRONIX CORP. 
000096	MARCONI ELECTRONICS LTD. 
000097	EMC Corporation 
000098	CROSSCOMM CORPORATION 
000099	MTX, INC. 
00009A	RC COMPUTER AS 
00009B	INFORMATION INTERNATIONAL, INC 
00009C	ROLM MIL-SPEC COMPUTERS 
00009D	LOCUS COMPUTING CORPORATION 
00009E	MARLI S.A. 
00009F	AMERISTAR TECHNOLOGIES INC. 
0000A0	SANYO Electric Co., Ltd. 
0000A1	MARQUETTE ELECTRIC CO. 
0000A2	Bay Networks 
0000A3	NETWORK APPLICATION TECHNOLOGY 
0000A4	ACORN COMPUTERS LIMITED 
0000A5	Tattile SRL 
0000A6	NETWORK GENERAL CORPORATION 
0000A7	NETWORK COMPUTING DEVICES INC. 
0000A8	STRATUS COMPUTER INC. 
0000A9	NETWORK SYSTEMS CORP. 
0000AA	XEROX CORPORATION 
0000AB	LOGIC MODELING CORPORATION 
0000AC	CONWARE COMPUTER CONSULTING 
0000AD	BRUKER INSTRUMENTS INC. 
0000AE	DASSAULT ELECTRONIQUE 
0000AF	Canberra Industries, Inc. 
0000B0	RND-RAD NETWORK DEVICES 
0000B1	Alpha Micro 
0000B2	TELEVIDEO SYSTEMS, INC. 
0000B3	CIMLINC INCORPORATED 
0000B4	Edimax Technology Co. Ltd. 
0000B5	DATABILITY SOFTWARE SYS. INC. 
0000B6	MICRO-MATIC RESEARCH 
0000B7	DOVE COMPUTER CORPORATION 
0000B8	SEIKOSHA CO., LTD. 
0000B9	MCDONNELL DOUGLAS COMPUTER SYS 
0000BA	SIIG, INC. 
0000BB	TRI-DATA 
0000BC	Rockwell Automation 
0000BD	MITSUBISHI CABLE COMPANY 
0000BE	THE NTI GROUP 
0000BF	SYMMETRIC COMPUTER SYSTEMS 
0000C0	WESTERN DIGITAL CORPORATION 
0000C1	Madge Ltd. 
0000C2	INFORMATION PRESENTATION TECH. 
0000C3	HARRIS CORP COMPUTER SYS DIV 
0000C4	WATERS DIV. OF MILLIPORE 
0000C5	ARRIS Group, Inc. 
0000C6	EON SYSTEMS 
0000C7	ARIX CORPORATION 
0000C8	ALTOS COMPUTER SYSTEMS 
